Sexo;Titulación;Sueldo mensual neto en 2019;Total
Ambos sexos;Ingeniería de la energía;Menos de 700 euros;0,0
Ambos sexos;Ingeniería de la energía;De 700 a 999 euros;0,0
Ambos sexos;Ingeniería de la energía;De 1.000 a 1.499 euros;17,2
Ambos sexos;Ingeniería de la energía;De 1.500 a 1.999 euros;43,8
Ambos sexos;Ingeniería de la energía;De 2.000 a 2.499 euros;20,4
Ambos sexos;Ingeniería de la energía;De 2.500 a 2.999 euros;8,2
Ambos sexos;Ingeniería de la energía;De 3.000 euros en adelante;10,4
Ambos sexos;Ingeniería eléctrica;Menos de 700 euros;1,2
Ambos sexos;Ingeniería eléctrica;De 700 a 999 euros;0,5
Ambos sexos;Ingeniería eléctrica;De 1.000 a 1.499 euros;15,1
Ambos sexos;Ingeniería eléctrica;De 1.500 a 1.999 euros;41,7
Ambos sexos;Ingeniería eléctrica;De 2.000 a 2.499 euros;26,4
Ambos sexos;Ingeniería eléctrica;De 2.500 a 2.999 euros;9,3
Ambos sexos;Ingeniería eléctrica;De 3.000 euros en adelante;5,8
Ambos sexos;Ingeniería de computadores;Menos de 700 euros;8,3
Ambos sexos;Ingeniería de computadores;De 700 a 999 euros;1,4
Ambos sexos;Ingeniería de computadores;De 1.000 a 1.499 euros;3,9
Ambos sexos;Ingeniería de computadores;De 1.500 a 1.999 euros;46,2
Ambos sexos;Ingeniería de computadores;De 2.000 a 2.499 euros;23,7
Ambos sexos;Ingeniería de computadores;De 2.500 a 2.999 euros;9,1
Ambos sexos;Ingeniería de computadores;De 3.000 euros en adelante;7,4
Ambos sexos;Ingeniería de sonido e imagen;Menos de 700 euros;0,6
Ambos sexos;Ingeniería de sonido e imagen;De 700 a 999 euros;1,1
Ambos sexos;Ingeniería de sonido e imagen;De 1.000 a 1.499 euros;22,6
Ambos sexos;Ingeniería de sonido e imagen;De 1.500 a 1.999 euros;48,6
Ambos sexos;Ingeniería de sonido e imagen;De 2.000 a 2.499 euros;22,3
Ambos sexos;Ingeniería de sonido e imagen;De 2.500 a 2.999 euros;3,6
Ambos sexos;Ingeniería de sonido e imagen;De 3.000 euros en adelante;1,2
Ambos sexos;Ingeniería de telecomunicación;Menos de 700 euros;2,4
Ambos sexos;Ingeniería de telecomunicación;De 700 a 999 euros;2,4
Ambos sexos;Ingeniería de telecomunicación;De 1.000 a 1.499 euros;15,7
Ambos sexos;Ingeniería de telecomunicación;De 1.500 a 1.999 euros;33,1
Ambos sexos;Ingeniería de telecomunicación;De 2.000 a 2.499 euros;23,1
Ambos sexos;Ingeniería de telecomunicación;De 2.500 a 2.999 euros;13,8
Ambos sexos;Ingeniería de telecomunicación;De 3.000 euros en adelante;9,4
Ambos sexos;Ingeniería electrónica industrial y automática;Menos de 700 euros;1,7
Ambos sexos;Ingeniería electrónica industrial y automática;De 700 a 999 euros;0,7
Ambos sexos;Ingeniería electrónica industrial y automática;De 1.000 a 1.499 euros;19,2
Ambos sexos;Ingeniería electrónica industrial y automática;De 1.500 a 1.999 euros;35,5
Ambos sexos;Ingeniería electrónica industrial y automática;De 2.000 a 2.499 euros;24,8
Ambos sexos;Ingeniería electrónica industrial y automática;De 2.500 a 2.999 euros;10,0
Ambos sexos;Ingeniería electrónica industrial y automática;De 3.000 euros en adelante;8,2
Ambos sexos;Ingeniería en electrónica;Menos de 700 euros;3,3
Ambos sexos;Ingeniería en electrónica;De 700 a 999 euros;0,0
Ambos sexos;Ingeniería en electrónica;De 1.000 a 1.499 euros;17,9
Ambos sexos;Ingeniería en electrónica;De 1.500 a 1.999 euros;42,2
Ambos sexos;Ingeniería en electrónica;De 2.000 a 2.499 euros;26,9
Ambos sexos;Ingeniería en electrónica;De 2.500 a 2.999 euros;6,3
Ambos sexos;Ingeniería en electrónica;De 3.000 euros en adelante;3,5
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;Menos de 700 euros;6,0
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;De 700 a 999 euros;5,2
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;De 1.000 a 1.499 euros;30,3
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;De 1.500 a 1.999 euros;29,8
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;De 2.000 a 2.499 euros;25,4
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;De 2.500 a 2.999 euros;2,3
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;De 3.000 euros en adelante;1,0
Ambos sexos;Ingeniería en tecnologías industriales;Menos de 700 euros;0,1
Ambos sexos;Ingeniería en tecnologías industriales;De 700 a 999 euros;0,7
Ambos sexos;Ingeniería en tecnologías industriales;De 1.000 a 1.499 euros;15,2
Ambos sexos;Ingeniería en tecnologías industriales;De 1.500 a 1.999 euros;35,9
Ambos sexos;Ingeniería en tecnologías industriales;De 2.000 a 2.499 euros;25,2
Ambos sexos;Ingeniería en tecnologías industriales;De 2.500 a 2.999 euros;10,2
Ambos sexos;Ingeniería en tecnologías industriales;De 3.000 euros en adelante;12,8
Ambos sexos;Ingeniería mecánica;Menos de 700 euros;0,8
Ambos sexos;Ingeniería mecánica;De 700 a 999 euros;1,6
Ambos sexos;Ingeniería mecánica;De 1.000 a 1.499 euros;24,9
Ambos sexos;Ingeniería mecánica;De 1.500 a 1.999 euros;36,8
Ambos sexos;Ingeniería mecánica;De 2.000 a 2.499 euros;21,5
Ambos sexos;Ingeniería mecánica;De 2.500 a 2.999 euros;6,9
Ambos sexos;Ingeniería mecánica;De 3.000 euros en adelante;7,6
Ambos sexos;Ingeniería aeronáutica;Menos de 700 euros;0,3
Ambos sexos;Ingeniería aeronáutica;De 700 a 999 euros;2,1
Ambos sexos;Ingeniería aeronáutica;De 1.000 a 1.499 euros;5,8
Ambos sexos;Ingeniería aeronáutica;De 1.500 a 1.999 euros;33,1
Ambos sexos;Ingeniería aeronáutica;De 2.000 a 2.499 euros;30,9
Ambos sexos;Ingeniería aeronáutica;De 2.500 a 2.999 euros;13,2
Ambos sexos;Ingeniería aeronáutica;De 3.000 euros en adelante;14,5
Ambos sexos;Ingeniería naval y oceánica;Menos de 700 euros;0,3
Ambos sexos;Ingeniería naval y oceánica;De 700 a 999 euros;1,4
Ambos sexos;Ingeniería naval y oceánica;De 1.000 a 1.499 euros;11,5
Ambos sexos;Ingeniería naval y oceánica;De 1.500 a 1.999 euros;33,0
Ambos sexos;Ingeniería naval y oceánica;De 2.000 a 2.499 euros;26,2
Ambos sexos;Ingeniería naval y oceánica;De 2.500 a 2.999 euros;8,3
Ambos sexos;Ingeniería naval y oceánica;De 3.000 euros en adelante;19,2
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;Menos de 700 euros;0,7
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;De 700 a 999 euros;2,5
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;De 1.000 a 1.499 euros;21,4
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;De 1.500 a 1.999 euros;30,8
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;De 2.000 a 2.499 euros;19,3
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;De 2.500 a 2.999 euros;14,8
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;De 3.000 euros en adelante;10,6
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;Menos de 700 euros;5,7
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;De 700 a 999 euros;6,3
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;De 1.000 a 1.499 euros;48,2
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;De 1.500 a 1.999 euros;22,0
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;De 2.000 a 2.499 euros;12,1
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;De 2.500 a 2.999 euros;2,5
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;De 3.000 euros en adelante;3,1
Ambos sexos;Enología;Menos de 700 euros;2,8
Ambos sexos;Enología;De 700 a 999 euros;11,2
Ambos sexos;Enología;De 1.000 a 1.499 euros;29,4
Ambos sexos;Enología;De 1.500 a 1.999 euros;35,1
Ambos sexos;Enología;De 2.000 a 2.499 euros;15,6
Ambos sexos;Enología;De 2.500 a 2.999 euros;4,8
Ambos sexos;Enología;De 3.000 euros en adelante;1,0
Ambos sexos;Ingeniería de materiales e Ingeniería textil;Menos de 700 euros;2,6
Ambos sexos;Ingeniería de materiales e Ingeniería textil;De 700 a 999 euros;0,0
Ambos sexos;Ingeniería de materiales e Ingeniería textil;De 1.000 a 1.499 euros;15,9
Ambos sexos;Ingeniería de materiales e Ingeniería textil;De 1.500 a 1.999 euros;52,5
Ambos sexos;Ingeniería de materiales e Ingeniería textil;De 2.000 a 2.499 euros;20,1
Ambos sexos;Ingeniería de materiales e Ingeniería textil;De 2.500 a 2.999 euros;8,9
Ambos sexos;Ingeniería de materiales e Ingeniería textil;De 3.000 euros en adelante;0,0
Ambos sexos;Ingeniería de minas y energía;Menos de 700 euros;1,8
Ambos sexos;Ingeniería de minas y energía;De 700 a 999 euros;3,0
Ambos sexos;Ingeniería de minas y energía;De 1.000 a 1.499 euros;20,4
Ambos sexos;Ingeniería de minas y energía;De 1.500 a 1.999 euros;33,1
Ambos sexos;Ingeniería de minas y energía;De 2.000 a 2.499 euros;26,0
Ambos sexos;Ingeniería de minas y energía;De 2.500 a 2.999 euros;10,1
Ambos sexos;Ingeniería de minas y energía;De 3.000 euros en adelante;5,6
Ambos sexos;Arquitectura y Urbanismo y paisajismo;Menos de 700 euros;4,0
Ambos sexos;Arquitectura y Urbanismo y paisajismo;De 700 a 999 euros;6,0
Ambos sexos;Arquitectura y Urbanismo y paisajismo;De 1.000 a 1.499 euros;26,0
Ambos sexos;Arquitectura y Urbanismo y paisajismo;De 1.500 a 1.999 euros;29,6
Ambos sexos;Arquitectura y Urbanismo y paisajismo;De 2.000 a 2.499 euros;14,1
Ambos sexos;Arquitectura y Urbanismo y paisajismo;De 2.500 a 2.999 euros;8,3
Ambos sexos;Arquitectura y Urbanismo y paisajismo;De 3.000 euros en adelante;12,2
Ambos sexos;Ingeniería geomática, topografía y cartografía;Menos de 700 euros;10,8
Ambos sexos;Ingeniería geomática, topografía y cartografía;De 700 a 999 euros;3,8
Ambos sexos;Ingeniería geomática, topografía y cartografía;De 1.000 a 1.499 euros;29,0
Ambos sexos;Ingeniería geomática, topografía y cartografía;De 1.500 a 1.999 euros;31,9
Ambos sexos;Ingeniería geomática, topografía y cartografía;De 2.000 a 2.499 euros;22,7
Ambos sexos;Ingeniería geomática, topografía y cartografía;De 2.500 a 2.999 euros;1,5
Ambos sexos;Ingeniería geomática, topografía y cartografía;De 3.000 euros en adelante;0,3
Ambos sexos;Arquitectura técnica;Menos de 700 euros;4,2
Ambos sexos;Arquitectura técnica;De 700 a 999 euros;6,8
Ambos sexos;Arquitectura técnica;De 1.000 a 1.499 euros;32,8
Ambos sexos;Arquitectura técnica;De 1.500 a 1.999 euros;37,3
Ambos sexos;Arquitectura técnica;De 2.000 a 2.499 euros;9,2
Ambos sexos;Arquitectura técnica;De 2.500 a 2.999 euros;5,3
Ambos sexos;Arquitectura técnica;De 3.000 euros en adelante;4,3
Ambos sexos;Ingeniería civil;Menos de 700 euros;2,0
Ambos sexos;Ingeniería civil;De 700 a 999 euros;3,4
Ambos sexos;Ingeniería civil;De 1.000 a 1.499 euros;21,7
Ambos sexos;Ingeniería civil;De 1.500 a 1.999 euros;32,5
Ambos sexos;Ingeniería civil;De 2.000 a 2.499 euros;21,1
Ambos sexos;Ingeniería civil;De 2.500 a 2.999 euros;11,3
Ambos sexos;Ingeniería civil;De 3.000 euros en adelante;7,9
Ambos sexos;Ingeniería agraria y agroalimentaria;Menos de 700 euros;1,6
Ambos sexos;Ingeniería agraria y agroalimentaria;De 700 a 999 euros;7,9
Ambos sexos;Ingeniería agraria y agroalimentaria;De 1.000 a 1.499 euros;37,3
Ambos sexos;Ingeniería agraria y agroalimentaria;De 1.500 a 1.999 euros;30,2
Ambos sexos;Ingeniería agraria y agroalimentaria;De 2.000 a 2.499 euros;17,8
Ambos sexos;Ingeniería agraria y agroalimentaria;De 2.500 a 2.999 euros;5,3
Ambos sexos;Ingeniería agraria y agroalimentaria;De 3.000 euros en adelante;0,0
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;Menos de 700 euros;2,3
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;De 700 a 999 euros;6,8
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;De 1.000 a 1.499 euros;34,2
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;De 1.500 a 1.999 euros;33,7
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;De 2.000 a 2.499 euros;12,0
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;De 2.500 a 2.999 euros;3,1
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;De 3.000 euros en adelante;8,0
Ambos sexos;Ingeniería horticultura y jardinería;Menos de 700 euros;7,4
Ambos sexos;Ingeniería horticultura y jardinería;De 700 a 999 euros;14,6
Ambos sexos;Ingeniería horticultura y jardinería;De 1.000 a 1.499 euros;36,2
Ambos sexos;Ingeniería horticultura y jardinería;De 1.500 a 1.999 euros;29,6
Ambos sexos;Ingeniería horticultura y jardinería;De 2.000 a 2.499 euros;7,1
Ambos sexos;Ingeniería horticultura y jardinería;De 2.500 a 2.999 euros;3,7
Ambos sexos;Ingeniería horticultura y jardinería;De 3.000 euros en adelante;1,4
Ambos sexos;Ingeniería forestal y montes;Menos de 700 euros;5,6
Ambos sexos;Ingeniería forestal y montes;De 700 a 999 euros;8,2
Ambos sexos;Ingeniería forestal y montes;De 1.000 a 1.499 euros;35,5
Ambos sexos;Ingeniería forestal y montes;De 1.500 a 1.999 euros;33,2
Ambos sexos;Ingeniería forestal y montes;De 2.000 a 2.499 euros;13,1
Ambos sexos;Ingeniería forestal y montes;De 2.500 a 2.999 euros;3,1
Ambos sexos;Ingeniería forestal y montes;De 3.000 euros en adelante;1,2
Ambos sexos;Veterinaria;Menos de 700 euros;6,1
Ambos sexos;Veterinaria;De 700 a 999 euros;10,4
Ambos sexos;Veterinaria;De 1.000 a 1.499 euros;44,5
Ambos sexos;Veterinaria;De 1.500 a 1.999 euros;18,2
Ambos sexos;Veterinaria;De 2.000 a 2.499 euros;13,1
Ambos sexos;Veterinaria;De 2.500 a 2.999 euros;4,6
Ambos sexos;Veterinaria;De 3.000 euros en adelante;3,1
Ambos sexos;Odontología;Menos de 700 euros;1,9
Ambos sexos;Odontología;De 700 a 999 euros;9,5
Ambos sexos;Odontología;De 1.000 a 1.499 euros;20,4
Ambos sexos;Odontología;De 1.500 a 1.999 euros;16,5
Ambos sexos;Odontología;De 2.000 a 2.499 euros;21,6
Ambos sexos;Odontología;De 2.500 a 2.999 euros;9,8
Ambos sexos;Odontología;De 3.000 euros en adelante;20,4
Ambos sexos;Medicina;Menos de 700 euros;0,3
Ambos sexos;Medicina;De 700 a 999 euros;1,6
Ambos sexos;Medicina;De 1.000 a 1.499 euros;6,3
Ambos sexos;Medicina;De 1.500 a 1.999 euros;12,7
Ambos sexos;Medicina;De 2.000 a 2.499 euros;38,2
Ambos sexos;Medicina;De 2.500 a 2.999 euros;19,9
Ambos sexos;Medicina;De 3.000 euros en adelante;21,0
Ambos sexos;Enfermería;Menos de 700 euros;2,8
Ambos sexos;Enfermería;De 700 a 999 euros;5,9
Ambos sexos;Enfermería;De 1.000 a 1.499 euros;24,3
Ambos sexos;Enfermería;De 1.500 a 1.999 euros;45,2
Ambos sexos;Enfermería;De 2.000 a 2.499 euros;18,9
Ambos sexos;Enfermería;De 2.500 a 2.999 euros;1,8
Ambos sexos;Enfermería;De 3.000 euros en adelante;1,1
Ambos sexos;Ingeniería biomédica y de la salud;Menos de 700 euros;0,0
Ambos sexos;Ingeniería biomédica y de la salud;De 700 a 999 euros;0,0
Ambos sexos;Ingeniería biomédica y de la salud;De 1.000 a 1.499 euros;17,5
Ambos sexos;Ingeniería biomédica y de la salud;De 1.500 a 1.999 euros;30,0
Ambos sexos;Ingeniería biomédica y de la salud;De 2.000 a 2.499 euros;24,8
Ambos sexos;Ingeniería biomédica y de la salud;De 2.500 a 2.999 euros;11,5
Ambos sexos;Ingeniería biomédica y de la salud;De 3.000 euros en adelante;16,2
Ambos sexos;Óptica y optometría;Menos de 700 euros;3,8
Ambos sexos;Óptica y optometría;De 700 a 999 euros;8,1
Ambos sexos;Óptica y optometría;De 1.000 a 1.499 euros;41,6
Ambos sexos;Óptica y optometría;De 1.500 a 1.999 euros;32,0
Ambos sexos;Óptica y optometría;De 2.000 a 2.499 euros;9,5
Ambos sexos;Óptica y optometría;De 2.500 a 2.999 euros;0,5
Ambos sexos;Óptica y optometría;De 3.000 euros en adelante;4,4
Ambos sexos;Fisioterapia;Menos de 700 euros;8,8
Ambos sexos;Fisioterapia;De 700 a 999 euros;14,1
Ambos sexos;Fisioterapia;De 1.000 a 1.499 euros;43,2
Ambos sexos;Fisioterapia;De 1.500 a 1.999 euros;23,3
Ambos sexos;Fisioterapia;De 2.000 a 2.499 euros;5,4
Ambos sexos;Fisioterapia;De 2.500 a 2.999 euros;1,9
Ambos sexos;Fisioterapia;De 3.000 euros en adelante;3,3
Ambos sexos;Logopedia;Menos de 700 euros;12,3
Ambos sexos;Logopedia;De 700 a 999 euros;20,6
Ambos sexos;Logopedia;De 1.000 a 1.499 euros;44,7
Ambos sexos;Logopedia;De 1.500 a 1.999 euros;16,5
Ambos sexos;Logopedia;De 2.000 a 2.499 euros;4,9
Ambos sexos;Logopedia;De 2.500 a 2.999 euros;0,0
Ambos sexos;Logopedia;De 3.000 euros en adelante;1,0
Ambos sexos;Nutrición humana y dietética;Menos de 700 euros;12,0
Ambos sexos;Nutrición humana y dietética;De 700 a 999 euros;18,5
Ambos sexos;Nutrición humana y dietética;De 1.000 a 1.499 euros;37,1
Ambos sexos;Nutrición humana y dietética;De 1.500 a 1.999 euros;22,0
Ambos sexos;Nutrición humana y dietética;De 2.000 a 2.499 euros;4,7
Ambos sexos;Nutrición humana y dietética;De 2.500 a 2.999 euros;4,5
Ambos sexos;Nutrición humana y dietética;De 3.000 euros en adelante;1,2
Ambos sexos;Podología;Menos de 700 euros;9,8
Ambos sexos;Podología;De 700 a 999 euros;17,7
Ambos sexos;Podología;De 1.000 a 1.499 euros;31,5
Ambos sexos;Podología;De 1.500 a 1.999 euros;20,7
Ambos sexos;Podología;De 2.000 a 2.499 euros;11,9
Ambos sexos;Podología;De 2.500 a 2.999 euros;4,0
Ambos sexos;Podología;De 3.000 euros en adelante;4,4
Ambos sexos;Terapia ocupacional;Menos de 700 euros;8,1
Ambos sexos;Terapia ocupacional;De 700 a 999 euros;13,2
Ambos sexos;Terapia ocupacional;De 1.000 a 1.499 euros;63,3
Ambos sexos;Terapia ocupacional;De 1.500 a 1.999 euros;13,1
Ambos sexos;Terapia ocupacional;De 2.000 a 2.499 euros;1,6
Ambos sexos;Terapia ocupacional;De 2.500 a 2.999 euros;0,4
Ambos sexos;Terapia ocupacional;De 3.000 euros en adelante;0,3
Ambos sexos;Farmacia;Menos de 700 euros;1,8
Ambos sexos;Farmacia;De 700 a 999 euros;3,4
Ambos sexos;Farmacia;De 1.000 a 1.499 euros;24,4
Ambos sexos;Farmacia;De 1.500 a 1.999 euros;43,9
Ambos sexos;Farmacia;De 2.000 a 2.499 euros;15,3
Ambos sexos;Farmacia;De 2.500 a 2.999 euros;4,4
Ambos sexos;Farmacia;De 3.000 euros en adelante;6,7
Ambos sexos;Trabajo social;Menos de 700 euros;8,3
Ambos sexos;Trabajo social;De 700 a 999 euros;13,3
Ambos sexos;Trabajo social;De 1.000 a 1.499 euros;45,3
Ambos sexos;Trabajo social;De 1.500 a 1.999 euros;25,4
Ambos sexos;Trabajo social;De 2.000 a 2.499 euros;5,8
Ambos sexos;Trabajo social;De 2.500 a 2.999 euros;1,7
Ambos sexos;Trabajo social;De 3.000 euros en adelante;0,2
Ambos sexos;Actividad física y del deporte;Menos de 700 euros;18,8
Ambos sexos;Actividad física y del deporte;De 700 a 999 euros;15,3
Ambos sexos;Actividad física y del deporte;De 1.000 a 1.499 euros;32,1
Ambos sexos;Actividad física y del deporte;De 1.500 a 1.999 euros;25,8
Ambos sexos;Actividad física y del deporte;De 2.000 a 2.499 euros;5,8
Ambos sexos;Actividad física y del deporte;De 2.500 a 2.999 euros;1,1
Ambos sexos;Actividad física y del deporte;De 3.000 euros en adelante;1,1
Ambos sexos;Turismo;Menos de 700 euros;5,4
Ambos sexos;Turismo;De 700 a 999 euros;13,9
Ambos sexos;Turismo;De 1.000 a 1.499 euros;44,3
Ambos sexos;Turismo;De 1.500 a 1.999 euros;24,1
Ambos sexos;Turismo;De 2.000 a 2.499 euros;8,7
Ambos sexos;Turismo;De 2.500 a 2.999 euros;1,6
Ambos sexos;Turismo;De 3.000 euros en adelante;2,0
Ambos sexos;Náutica y transporte marítimo;Menos de 700 euros;4,8
Ambos sexos;Náutica y transporte marítimo;De 700 a 999 euros;3,1
Ambos sexos;Náutica y transporte marítimo;De 1.000 a 1.499 euros;13,5
Ambos sexos;Náutica y transporte marítimo;De 1.500 a 1.999 euros;18,8
Ambos sexos;Náutica y transporte marítimo;De 2.000 a 2.499 euros;25,0
Ambos sexos;Náutica y transporte marítimo;De 2.500 a 2.999 euros;9,9
Ambos sexos;Náutica y transporte marítimo;De 3.000 euros en adelante;24,9
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;Menos de 700 euros;0,0
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;De 700 a 999 euros;4,9
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;De 1.000 a 1.499 euros;25,0
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;De 1.500 a 1.999 euros;23,4
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;De 2.000 a 2.499 euros;21,1
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;De 2.500 a 2.999 euros;4,8
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;De 3.000 euros en adelante;21,0
Ambos sexos;Servicios (otros estudios);Menos de 700 euros;0,0
Ambos sexos;Servicios (otros estudios);De 700 a 999 euros;1,9
Ambos sexos;Servicios (otros estudios);De 1.000 a 1.499 euros;13,9
Ambos sexos;Servicios (otros estudios);De 1.500 a 1.999 euros;36,0
Ambos sexos;Servicios (otros estudios);De 2.000 a 2.499 euros;14,0
Ambos sexos;Servicios (otros estudios);De 2.500 a 2.999 euros;30,4
Ambos sexos;Servicios (otros estudios);De 3.000 euros en adelante;3,7
