Sexo;Titulación;Nivel de formación más apropiado para realizar su trabajo;Total
Ambos sexos;Ingeniería de sonido e imagen;Título universitario (excepto doctorado o máster);68,0
Ambos sexos;Ingeniería de sonido e imagen;Formación profesional de grado superior;8,9
Ambos sexos;Ingeniería de sonido e imagen;Formación profesional de grado medio / bachillerato;2,4
Ambos sexos;Ingeniería de sonido e imagen;Formación profesional básica;0,0
Ambos sexos;Ingeniería de sonido e imagen;ESO, EGB, etc ...;2,0
Ambos sexos;Ingeniería de telecomunicación;Doctorado;3,3
Ambos sexos;Ingeniería de telecomunicación;Máster;21,0
Ambos sexos;Ingeniería de telecomunicación;Título universitario (excepto doctorado o máster);60,7
Ambos sexos;Ingeniería de telecomunicación;Formación profesional de grado superior;12,6
Ambos sexos;Ingeniería de telecomunicación;Formación profesional de grado medio / bachillerato;2,0
Ambos sexos;Ingeniería de telecomunicación;Formación profesional básica;0,4
Ambos sexos;Ingeniería de telecomunicación;ESO, EGB, etc ...;0,0
Ambos sexos;Ingeniería electrónica industrial y automática;Doctorado;1,8
Ambos sexos;Ingeniería electrónica industrial y automática;Máster;17,3
Ambos sexos;Ingeniería electrónica industrial y automática;Título universitario (excepto doctorado o máster);69,0
Ambos sexos;Ingeniería electrónica industrial y automática;Formación profesional de grado superior;9,8
Ambos sexos;Ingeniería electrónica industrial y automática;Formación profesional de grado medio / bachillerato;1,4
Ambos sexos;Ingeniería electrónica industrial y automática;Formación profesional básica;0,3
Ambos sexos;Ingeniería electrónica industrial y automática;ESO, EGB, etc ...;0,4
Ambos sexos;Ingeniería en electrónica;Doctorado;3,5
Ambos sexos;Ingeniería en electrónica;Máster;12,0
Ambos sexos;Ingeniería en electrónica;Título universitario (excepto doctorado o máster);61,1
Ambos sexos;Ingeniería en electrónica;Formación profesional de grado superior;13,7
Ambos sexos;Ingeniería en electrónica;Formación profesional de grado medio / bachillerato;3,1
Ambos sexos;Ingeniería en electrónica;Formación profesional básica;0,9
Ambos sexos;Ingeniería en electrónica;ESO, EGB, etc ...;5,6
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;Doctorado;3,2
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;Máster;16,1
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;Título universitario (excepto doctorado o máster);58,2
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;Formación profesional de grado superior;13,1
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;Formación profesional de grado medio / bachillerato;2,8
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;Formación profesional básica;1,3
Ambos sexos;Ingeniería en diseño industrial y desarrollo del producto;ESO, EGB, etc ...;5,3
Ambos sexos;Ingeniería en tecnologías industriales;Doctorado;2,5
Ambos sexos;Ingeniería en tecnologías industriales;Máster;26,1
Ambos sexos;Ingeniería en tecnologías industriales;Título universitario (excepto doctorado o máster);63,6
Ambos sexos;Ingeniería en tecnologías industriales;Formación profesional de grado superior;6,6
Ambos sexos;Ingeniería en tecnologías industriales;Formación profesional de grado medio / bachillerato;0,3
Ambos sexos;Ingeniería en tecnologías industriales;Formación profesional básica;0,5
Ambos sexos;Ingeniería en tecnologías industriales;ESO, EGB, etc ...;0,4
Ambos sexos;Ingeniería mecánica;Doctorado;1,3
Ambos sexos;Ingeniería mecánica;Máster;17,2
Ambos sexos;Ingeniería mecánica;Título universitario (excepto doctorado o máster);68,5
Ambos sexos;Ingeniería mecánica;Formación profesional de grado superior;9,0
Ambos sexos;Ingeniería mecánica;Formación profesional de grado medio / bachillerato;2,5
Ambos sexos;Ingeniería mecánica;Formación profesional básica;0,8
Ambos sexos;Ingeniería mecánica;ESO, EGB, etc ...;0,7
Ambos sexos;Ingeniería aeronáutica;Doctorado;4,4
Ambos sexos;Ingeniería aeronáutica;Máster;32,4
Ambos sexos;Ingeniería aeronáutica;Título universitario (excepto doctorado o máster);59,6
Ambos sexos;Ingeniería aeronáutica;Formación profesional de grado superior;2,5
Ambos sexos;Ingeniería aeronáutica;Formación profesional de grado medio / bachillerato;0,8
Ambos sexos;Ingeniería aeronáutica;Formación profesional básica;0,0
Ambos sexos;Ingeniería aeronáutica;ESO, EGB, etc ...;0,4
Ambos sexos;Ingeniería naval y oceánica;Doctorado;0,7
Ambos sexos;Ingeniería naval y oceánica;Máster;31,2
Ambos sexos;Ingeniería naval y oceánica;Título universitario (excepto doctorado o máster);53,3
Ambos sexos;Ingeniería naval y oceánica;Formación profesional de grado superior;9,8
Ambos sexos;Ingeniería naval y oceánica;Formación profesional de grado medio / bachillerato;4,4
Ambos sexos;Ingeniería naval y oceánica;Formación profesional básica;0,3
Ambos sexos;Ingeniería naval y oceánica;ESO, EGB, etc ...;0,3
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;Doctorado;0,4
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;Máster;18,1
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;Título universitario (excepto doctorado o máster);69,3
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;Formación profesional de grado superior;8,8
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;Formación profesional de grado medio / bachillerato;0,0
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;Formación profesional básica;1,9
Ambos sexos;Ingeniería de organización industrial y Nanotecnología;ESO, EGB, etc ...;1,6
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;Doctorado;5,4
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;Máster;26,2
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;Título universitario (excepto doctorado o máster);51,5
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;Formación profesional de grado superior;10,4
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;Formación profesional de grado medio / bachillerato;4,6
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;Formación profesional básica;0,3
Ambos sexos;Ciencia y tecnología de los alimentos e Ingeniería alimentaria;ESO, EGB, etc ...;1,6
Ambos sexos;Enología;Doctorado;2,7
Ambos sexos;Enología;Máster;15,9
Ambos sexos;Enología;Título universitario (excepto doctorado o máster);64,5
Ambos sexos;Enología;Formación profesional de grado superior;11,2
Ambos sexos;Enología;Formación profesional de grado medio / bachillerato;4,4
Ambos sexos;Enología;Formación profesional básica;0,0
Ambos sexos;Enología;ESO, EGB, etc ...;1,3
Ambos sexos;Ingeniería de materiales e Ingeniería textil;Doctorado;10,1
Ambos sexos;Ingeniería de materiales e Ingeniería textil;Máster;30,5
Ambos sexos;Ingeniería de materiales e Ingeniería textil;Título universitario (excepto doctorado o máster);48,1
Ambos sexos;Ingeniería de materiales e Ingeniería textil;Formación profesional de grado superior;5,5
Ambos sexos;Ingeniería de materiales e Ingeniería textil;Formación profesional de grado medio / bachillerato;5,7
Ambos sexos;Ingeniería de materiales e Ingeniería textil;Formación profesional básica;0,0
Ambos sexos;Ingeniería de materiales e Ingeniería textil;ESO, EGB, etc ...;0,0
Ambos sexos;Ingeniería de minas y energía;Doctorado;2,5
Ambos sexos;Ingeniería de minas y energía;Máster;19,2
Ambos sexos;Ingeniería de minas y energía;Título universitario (excepto doctorado o máster);65,3
Ambos sexos;Ingeniería de minas y energía;Formación profesional de grado superior;7,1
Ambos sexos;Ingeniería de minas y energía;Formación profesional de grado medio / bachillerato;3,4
Ambos sexos;Ingeniería de minas y energía;Formación profesional básica;0,5
Ambos sexos;Ingeniería de minas y energía;ESO, EGB, etc ...;1,9
Ambos sexos;Arquitectura y Urbanismo y paisajismo;Doctorado;1,4
Ambos sexos;Arquitectura y Urbanismo y paisajismo;Máster;20,7
Ambos sexos;Arquitectura y Urbanismo y paisajismo;Título universitario (excepto doctorado o máster);70,4
Ambos sexos;Arquitectura y Urbanismo y paisajismo;Formación profesional de grado superior;3,4
Ambos sexos;Arquitectura y Urbanismo y paisajismo;Formación profesional de grado medio / bachillerato;2,5
Ambos sexos;Arquitectura y Urbanismo y paisajismo;Formación profesional básica;1,0
Ambos sexos;Arquitectura y Urbanismo y paisajismo;ESO, EGB, etc ...;0,6
Ambos sexos;Ingeniería geomática, topografía y cartografía;Doctorado;2,5
Ambos sexos;Ingeniería geomática, topografía y cartografía;Máster;11,5
Ambos sexos;Ingeniería geomática, topografía y cartografía;Título universitario (excepto doctorado o máster);59,5
Ambos sexos;Ingeniería geomática, topografía y cartografía;Formación profesional de grado superior;13,0
Ambos sexos;Ingeniería geomática, topografía y cartografía;Formación profesional de grado medio / bachillerato;2,8
Ambos sexos;Ingeniería geomática, topografía y cartografía;Formación profesional básica;5,3
Ambos sexos;Ingeniería geomática, topografía y cartografía;ESO, EGB, etc ...;5,4
Ambos sexos;Arquitectura técnica;Doctorado;0,1
Ambos sexos;Arquitectura técnica;Máster;13,5
Ambos sexos;Arquitectura técnica;Título universitario (excepto doctorado o máster);64,1
Ambos sexos;Arquitectura técnica;Formación profesional de grado superior;11,8
Ambos sexos;Arquitectura técnica;Formación profesional de grado medio / bachillerato;4,8
Ambos sexos;Arquitectura técnica;Formación profesional básica;1,8
Ambos sexos;Arquitectura técnica;ESO, EGB, etc ...;3,9
Ambos sexos;Ingeniería civil;Doctorado;1,9
Ambos sexos;Ingeniería civil;Máster;24,8
Ambos sexos;Ingeniería civil;Título universitario (excepto doctorado o máster);57,3
Ambos sexos;Ingeniería civil;Formación profesional de grado superior;8,3
Ambos sexos;Ingeniería civil;Formación profesional de grado medio / bachillerato;3,3
Ambos sexos;Ingeniería civil;Formación profesional básica;0,9
Ambos sexos;Ingeniería civil;ESO, EGB, etc ...;3,5
Ambos sexos;Ingeniería agraria y agroalimentaria;Doctorado;2,4
Ambos sexos;Ingeniería agraria y agroalimentaria;Máster;19,3
Ambos sexos;Ingeniería agraria y agroalimentaria;Título universitario (excepto doctorado o máster);59,2
Ambos sexos;Ingeniería agraria y agroalimentaria;Formación profesional de grado superior;11,4
Ambos sexos;Ingeniería agraria y agroalimentaria;Formación profesional de grado medio / bachillerato;4,0
Ambos sexos;Ingeniería agraria y agroalimentaria;Formación profesional básica;1,0
Ambos sexos;Ingeniería agraria y agroalimentaria;ESO, EGB, etc ...;2,7
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;Doctorado;2,2
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;Máster;10,9
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;Título universitario (excepto doctorado o máster);61,3
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;Formación profesional de grado superior;11,9
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;Formación profesional de grado medio / bachillerato;5,6
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;Formación profesional básica;1,6
Ambos sexos;Ingeniería agrícola, agropecuaria y medio rural;ESO, EGB, etc ...;6,6
Ambos sexos;Ingeniería horticultura y jardinería;Doctorado;0,0
Ambos sexos;Ingeniería horticultura y jardinería;Máster;4,5
Ambos sexos;Ingeniería horticultura y jardinería;Título universitario (excepto doctorado o máster);59,8
Ambos sexos;Ingeniería horticultura y jardinería;Formación profesional de grado superior;13,2
Ambos sexos;Ingeniería horticultura y jardinería;Formación profesional de grado medio / bachillerato;9,2
Ambos sexos;Ingeniería horticultura y jardinería;Formación profesional básica;5,8
Ambos sexos;Ingeniería horticultura y jardinería;ESO, EGB, etc ...;7,5
Ambos sexos;Ingeniería forestal y montes;Doctorado;1,8
Ambos sexos;Ingeniería forestal y montes;Máster;10,7
Ambos sexos;Ingeniería forestal y montes;Título universitario (excepto doctorado o máster);57,5
Ambos sexos;Ingeniería forestal y montes;Formación profesional de grado superior;13,1
Ambos sexos;Ingeniería forestal y montes;Formación profesional de grado medio / bachillerato;7,9
Ambos sexos;Ingeniería forestal y montes;Formación profesional básica;2,8
Ambos sexos;Ingeniería forestal y montes;ESO, EGB, etc ...;6,1
Ambos sexos;Veterinaria;Doctorado;2,8
Ambos sexos;Veterinaria;Máster;15,6
Ambos sexos;Veterinaria;Título universitario (excepto doctorado o máster);74,4
Ambos sexos;Veterinaria;Formación profesional de grado superior;1,9
Ambos sexos;Veterinaria;Formación profesional de grado medio / bachillerato;1,7
Ambos sexos;Veterinaria;Formación profesional básica;0,2
Ambos sexos;Veterinaria;ESO, EGB, etc ...;3,4
Ambos sexos;Odontología;Doctorado;0,2
Ambos sexos;Odontología;Máster;54,8
Ambos sexos;Odontología;Título universitario (excepto doctorado o máster);44,8
Ambos sexos;Odontología;Formación profesional de grado superior;0,2
Ambos sexos;Odontología;Formación profesional de grado medio / bachillerato;0,0
Ambos sexos;Odontología;Formación profesional básica;0,0
Ambos sexos;Odontología;ESO, EGB, etc ...;0,0
Ambos sexos;Medicina;Doctorado;5,5
Ambos sexos;Medicina;Máster;6,7
Ambos sexos;Medicina;Título universitario (excepto doctorado o máster);86,8
Ambos sexos;Medicina;Formación profesional de grado superior;0,5
Ambos sexos;Medicina;Formación profesional de grado medio / bachillerato;0,4
Ambos sexos;Medicina;Formación profesional básica;0,0
Ambos sexos;Medicina;ESO, EGB, etc ...;0,1
Ambos sexos;Enfermería;Doctorado;1,0
Ambos sexos;Enfermería;Máster;16,1
Ambos sexos;Enfermería;Título universitario (excepto doctorado o máster);80,0
Ambos sexos;Enfermería;Formación profesional de grado superior;1,7
Ambos sexos;Enfermería;Formación profesional de grado medio / bachillerato;0,7
Ambos sexos;Enfermería;Formación profesional básica;0,3
Ambos sexos;Enfermería;ESO, EGB, etc ...;0,2
Ambos sexos;Ingeniería biomédica y de la salud;Doctorado;3,3
Ambos sexos;Ingeniería biomédica y de la salud;Máster;48,0
Ambos sexos;Ingeniería biomédica y de la salud;Título universitario (excepto doctorado o máster);45,6
Ambos sexos;Ingeniería biomédica y de la salud;Formación profesional de grado superior;1,8
Ambos sexos;Ingeniería biomédica y de la salud;Formación profesional de grado medio / bachillerato;1,3
Ambos sexos;Ingeniería biomédica y de la salud;Formación profesional básica;0,0
Ambos sexos;Ingeniería biomédica y de la salud;ESO, EGB, etc ...;0,0
Ambos sexos;Óptica y optometría;Doctorado;2,6
Ambos sexos;Óptica y optometría;Máster;15,1
Ambos sexos;Óptica y optometría;Título universitario (excepto doctorado o máster);76,2
Ambos sexos;Óptica y optometría;Formación profesional de grado superior;4,0
Ambos sexos;Óptica y optometría;Formación profesional de grado medio / bachillerato;0,0
Ambos sexos;Óptica y optometría;Formación profesional básica;0,4
Ambos sexos;Óptica y optometría;ESO, EGB, etc ...;1,7
Ambos sexos;Fisioterapia;Doctorado;1,7
Ambos sexos;Fisioterapia;Máster;30,9
Ambos sexos;Fisioterapia;Título universitario (excepto doctorado o máster);62,2
Ambos sexos;Fisioterapia;Formación profesional de grado superior;2,0
Ambos sexos;Fisioterapia;Formación profesional de grado medio / bachillerato;1,2
Ambos sexos;Fisioterapia;Formación profesional básica;0,1
Ambos sexos;Fisioterapia;ESO, EGB, etc ...;1,9
Ambos sexos;Logopedia;Doctorado;0,7
Ambos sexos;Logopedia;Máster;21,7
Ambos sexos;Logopedia;Título universitario (excepto doctorado o máster);60,7
Ambos sexos;Logopedia;Formación profesional de grado superior;5,9
Ambos sexos;Logopedia;Formación profesional de grado medio / bachillerato;4,6
Ambos sexos;Logopedia;Formación profesional básica;0,0
Ambos sexos;Logopedia;ESO, EGB, etc ...;6,5
Ambos sexos;Nutrición humana y dietética;Doctorado;1,4
Ambos sexos;Nutrición humana y dietética;Máster;17,0
Ambos sexos;Nutrición humana y dietética;Título universitario (excepto doctorado o máster);64,5
Ambos sexos;Nutrición humana y dietética;Formación profesional de grado superior;6,8
Ambos sexos;Nutrición humana y dietética;Formación profesional de grado medio / bachillerato;2,4
Ambos sexos;Nutrición humana y dietética;Formación profesional básica;0,4
Ambos sexos;Nutrición humana y dietética;ESO, EGB, etc ...;7,6
Ambos sexos;Podología;Doctorado;7,5
Ambos sexos;Podología;Máster;16,9
Ambos sexos;Podología;Título universitario (excepto doctorado o máster);70,1
Ambos sexos;Podología;Formación profesional de grado superior;2,8
Ambos sexos;Podología;Formación profesional de grado medio / bachillerato;0,0
Ambos sexos;Podología;Formación profesional básica;0,0
Ambos sexos;Podología;ESO, EGB, etc ...;2,7
Ambos sexos;Terapia ocupacional;Doctorado;4,2
Ambos sexos;Terapia ocupacional;Máster;23,5
Ambos sexos;Terapia ocupacional;Título universitario (excepto doctorado o máster);51,1
Ambos sexos;Terapia ocupacional;Formación profesional de grado superior;4,3
Ambos sexos;Terapia ocupacional;Formación profesional de grado medio / bachillerato;8,3
Ambos sexos;Terapia ocupacional;Formación profesional básica;3,3
Ambos sexos;Terapia ocupacional;ESO, EGB, etc ...;5,3
Ambos sexos;Farmacia;Doctorado;3,3
Ambos sexos;Farmacia;Máster;15,8
Ambos sexos;Farmacia;Título universitario (excepto doctorado o máster);77,6
Ambos sexos;Farmacia;Formación profesional de grado superior;2,0
Ambos sexos;Farmacia;Formación profesional de grado medio / bachillerato;0,5
Ambos sexos;Farmacia;Formación profesional básica;0,0
Ambos sexos;Farmacia;ESO, EGB, etc ...;0,9
Ambos sexos;Trabajo social;Doctorado;0,6
Ambos sexos;Trabajo social;Máster;7,6
Ambos sexos;Trabajo social;Título universitario (excepto doctorado o máster);64,7
Ambos sexos;Trabajo social;Formación profesional de grado superior;9,5
Ambos sexos;Trabajo social;Formación profesional de grado medio / bachillerato;9,6
Ambos sexos;Trabajo social;Formación profesional básica;1,8
Ambos sexos;Trabajo social;ESO, EGB, etc ...;6,1
Ambos sexos;Actividad física y del deporte;Doctorado;3,1
Ambos sexos;Actividad física y del deporte;Máster;21,0
Ambos sexos;Actividad física y del deporte;Título universitario (excepto doctorado o máster);43,8
Ambos sexos;Actividad física y del deporte;Formación profesional de grado superior;14,0
Ambos sexos;Actividad física y del deporte;Formación profesional de grado medio / bachillerato;9,2
Ambos sexos;Actividad física y del deporte;Formación profesional básica;2,4
Ambos sexos;Actividad física y del deporte;ESO, EGB, etc ...;6,5
Ambos sexos;Turismo;Doctorado;1,9
Ambos sexos;Turismo;Máster;11,4
Ambos sexos;Turismo;Título universitario (excepto doctorado o máster);42,7
Ambos sexos;Turismo;Formación profesional de grado superior;24,6
Ambos sexos;Turismo;Formación profesional de grado medio / bachillerato;11,1
Ambos sexos;Turismo;Formación profesional básica;3,3
Ambos sexos;Turismo;ESO, EGB, etc ...;5,0
Ambos sexos;Náutica y transporte marítimo;Doctorado;0,0
Ambos sexos;Náutica y transporte marítimo;Máster;22,5
Ambos sexos;Náutica y transporte marítimo;Título universitario (excepto doctorado o máster);55,9
Ambos sexos;Náutica y transporte marítimo;Formación profesional de grado superior;13,0
Ambos sexos;Náutica y transporte marítimo;Formación profesional de grado medio / bachillerato;2,3
Ambos sexos;Náutica y transporte marítimo;Formación profesional básica;2,5
Ambos sexos;Náutica y transporte marítimo;ESO, EGB, etc ...;3,8
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;Doctorado;0,0
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;Máster;22,5
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;Título universitario (excepto doctorado o máster);53,7
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;Formación profesional de grado superior;17,2
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;Formación profesional de grado medio / bachillerato;5,6
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;Formación profesional básica;1,0
Ambos sexos;Servicio de transporte terrestre y Servicio de transporte aéreo;ESO, EGB, etc ...;0,0
Ambos sexos;Servicios (otros estudios);Doctorado;1,6
Ambos sexos;Servicios (otros estudios);Máster;25,7
Ambos sexos;Servicios (otros estudios);Título universitario (excepto doctorado o máster);61,9
Ambos sexos;Servicios (otros estudios);Formación profesional de grado superior;3,7
Ambos sexos;Servicios (otros estudios);Formación profesional de grado medio / bachillerato;5,3
Ambos sexos;Servicios (otros estudios);Formación profesional básica;0,0
Ambos sexos;Servicios (otros estudios);ESO, EGB, etc ...;1,8
