Sexo;Titulación;Nivel de formación más apropiado para realizar su trabajo;Total
Ambos sexos;Historia;Formación profesional básica;4,1
Ambos sexos;Historia;ESO, EGB, etc ...;14,9
Ambos sexos;Filosofía;Doctorado;1,0
Ambos sexos;Filosofía;Máster;41,2
Ambos sexos;Filosofía;Título universitario (excepto doctorado o máster);22,5
Ambos sexos;Filosofía;Formación profesional de grado superior;11,0
Ambos sexos;Filosofía;Formación profesional de grado medio / bachillerato;7,4
Ambos sexos;Filosofía;Formación profesional básica;5,7
Ambos sexos;Filosofía;ESO, EGB, etc ...;11,1
Ambos sexos;Humanidades;Doctorado;1,9
Ambos sexos;Humanidades;Máster;24,4
Ambos sexos;Humanidades;Título universitario (excepto doctorado o máster);34,9
Ambos sexos;Humanidades;Formación profesional de grado superior;21,6
Ambos sexos;Humanidades;Formación profesional de grado medio / bachillerato;10,2
Ambos sexos;Humanidades;Formación profesional básica;1,8
Ambos sexos;Humanidades;ESO, EGB, etc ...;5,3
Ambos sexos;Lengua inglesa;Doctorado;4,1
Ambos sexos;Lengua inglesa;Máster;34,8
Ambos sexos;Lengua inglesa;Título universitario (excepto doctorado o máster);42,3
Ambos sexos;Lengua inglesa;Formación profesional de grado superior;8,6
Ambos sexos;Lengua inglesa;Formación profesional de grado medio / bachillerato;6,5
Ambos sexos;Lengua inglesa;Formación profesional básica;0,9
Ambos sexos;Lengua inglesa;ESO, EGB, etc ...;2,8
Ambos sexos;Lenguas clásicas;Doctorado;9,7
Ambos sexos;Lenguas clásicas;Máster;36,2
Ambos sexos;Lenguas clásicas;Título universitario (excepto doctorado o máster);26,7
Ambos sexos;Lenguas clásicas;Formación profesional de grado superior;9,9
Ambos sexos;Lenguas clásicas;Formación profesional de grado medio / bachillerato;9,0
Ambos sexos;Lenguas clásicas;Formación profesional básica;3,4
Ambos sexos;Lenguas clásicas;ESO, EGB, etc ...;5,1
Ambos sexos;Otras lenguas extranjeras;Doctorado;2,1
Ambos sexos;Otras lenguas extranjeras;Máster;31,5
Ambos sexos;Otras lenguas extranjeras;Título universitario (excepto doctorado o máster);34,7
Ambos sexos;Otras lenguas extranjeras;Formación profesional de grado superior;15,0
Ambos sexos;Otras lenguas extranjeras;Formación profesional de grado medio / bachillerato;2,0
Ambos sexos;Otras lenguas extranjeras;Formación profesional básica;1,1
Ambos sexos;Otras lenguas extranjeras;ESO, EGB, etc ...;13,6
Ambos sexos;Traducción e interpretación;Doctorado;5,3
Ambos sexos;Traducción e interpretación;Máster;34,0
Ambos sexos;Traducción e interpretación;Título universitario (excepto doctorado o máster);42,9
Ambos sexos;Traducción e interpretación;Formación profesional de grado superior;7,3
Ambos sexos;Traducción e interpretación;Formación profesional de grado medio / bachillerato;5,2
Ambos sexos;Traducción e interpretación;Formación profesional básica;2,0
Ambos sexos;Traducción e interpretación;ESO, EGB, etc ...;3,3
Ambos sexos;Lenguas y dialectos españoles;Doctorado;8,1
Ambos sexos;Lenguas y dialectos españoles;Máster;43,3
Ambos sexos;Lenguas y dialectos españoles;Título universitario (excepto doctorado o máster);32,4
Ambos sexos;Lenguas y dialectos españoles;Formación profesional de grado superior;5,5
Ambos sexos;Lenguas y dialectos españoles;Formación profesional de grado medio / bachillerato;3,7
Ambos sexos;Lenguas y dialectos españoles;Formación profesional básica;2,7
Ambos sexos;Lenguas y dialectos españoles;ESO, EGB, etc ...;4,2
Ambos sexos;Literatura;Doctorado;0,0
Ambos sexos;Literatura;Máster;33,3
Ambos sexos;Literatura;Título universitario (excepto doctorado o máster);48,5
Ambos sexos;Literatura;Formación profesional de grado superior;0,0
Ambos sexos;Literatura;Formación profesional de grado medio / bachillerato;3,0
Ambos sexos;Literatura;Formación profesional básica;11,8
Ambos sexos;Literatura;ESO, EGB, etc ...;3,4
Ambos sexos;Lenguas modernas y aplicadas;Doctorado;4,0
Ambos sexos;Lenguas modernas y aplicadas;Máster;44,2
Ambos sexos;Lenguas modernas y aplicadas;Título universitario (excepto doctorado o máster);20,1
Ambos sexos;Lenguas modernas y aplicadas;Formación profesional de grado superior;11,0
Ambos sexos;Lenguas modernas y aplicadas;Formación profesional de grado medio / bachillerato;15,5
Ambos sexos;Lenguas modernas y aplicadas;Formación profesional básica;1,3
Ambos sexos;Lenguas modernas y aplicadas;ESO, EGB, etc ...;3,9
Ambos sexos;Economía;Doctorado;1,5
Ambos sexos;Economía;Máster;22,0
Ambos sexos;Economía;Título universitario (excepto doctorado o máster);48,0
Ambos sexos;Economía;Formación profesional de grado superior;15,0
Ambos sexos;Economía;Formación profesional de grado medio / bachillerato;6,3
Ambos sexos;Economía;Formación profesional básica;2,3
Ambos sexos;Economía;ESO, EGB, etc ...;4,9
Ambos sexos;Política y gestión pública;Doctorado;2,0
Ambos sexos;Política y gestión pública;Máster;26,0
Ambos sexos;Política y gestión pública;Título universitario (excepto doctorado o máster);48,7
Ambos sexos;Política y gestión pública;Formación profesional de grado superior;8,7
Ambos sexos;Política y gestión pública;Formación profesional de grado medio / bachillerato;6,3
Ambos sexos;Política y gestión pública;Formación profesional básica;2,0
Ambos sexos;Política y gestión pública;ESO, EGB, etc ...;6,4
Ambos sexos;Relaciones internacionales;Doctorado;4,7
Ambos sexos;Relaciones internacionales;Máster;38,3
Ambos sexos;Relaciones internacionales;Título universitario (excepto doctorado o máster);38,9
Ambos sexos;Relaciones internacionales;Formación profesional de grado superior;11,1
Ambos sexos;Relaciones internacionales;Formación profesional de grado medio / bachillerato;7,0
Ambos sexos;Relaciones internacionales;Formación profesional básica;0,0
Ambos sexos;Relaciones internacionales;ESO, EGB, etc ...;0,0
Ambos sexos;Psicología;Doctorado;1,7
Ambos sexos;Psicología;Máster;39,5
Ambos sexos;Psicología;Título universitario (excepto doctorado o máster);35,1
Ambos sexos;Psicología;Formación profesional de grado superior;9,5
Ambos sexos;Psicología;Formación profesional de grado medio / bachillerato;7,8
Ambos sexos;Psicología;Formación profesional básica;2,0
Ambos sexos;Psicología;ESO, EGB, etc ...;4,5
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;Doctorado;5,4
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;Máster;21,2
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;Título universitario (excepto doctorado o máster);62,5
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;Formación profesional de grado superior;4,4
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;Formación profesional de grado medio / bachillerato;1,0
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;Formación profesional básica;3,6
Ambos sexos;Antropología social y cultural y Estudios y gestión de la cultura;ESO, EGB, etc ...;1,8
Ambos sexos;Criminología;Doctorado;0,0
Ambos sexos;Criminología;Máster;8,2
Ambos sexos;Criminología;Título universitario (excepto doctorado o máster);58,2
Ambos sexos;Criminología;Formación profesional de grado superior;7,5
Ambos sexos;Criminología;Formación profesional de grado medio / bachillerato;11,2
Ambos sexos;Criminología;Formación profesional básica;5,4
Ambos sexos;Criminología;ESO, EGB, etc ...;9,5
Ambos sexos;Geografía;Doctorado;2,4
Ambos sexos;Geografía;Máster;5,6
Ambos sexos;Geografía;Título universitario (excepto doctorado o máster);32,8
Ambos sexos;Geografía;Formación profesional de grado superior;19,4
Ambos sexos;Geografía;Formación profesional de grado medio / bachillerato;16,7
Ambos sexos;Geografía;Formación profesional básica;8,9
Ambos sexos;Geografía;ESO, EGB, etc ...;14,2
Ambos sexos;Sociología e Igualdad de género;Doctorado;2,3
Ambos sexos;Sociología e Igualdad de género;Máster;26,3
Ambos sexos;Sociología e Igualdad de género;Título universitario (excepto doctorado o máster);37,4
Ambos sexos;Sociología e Igualdad de género;Formación profesional de grado superior;13,2
Ambos sexos;Sociología e Igualdad de género;Formación profesional de grado medio / bachillerato;12,6
Ambos sexos;Sociología e Igualdad de género;Formación profesional básica;1,8
Ambos sexos;Sociología e Igualdad de género;ESO, EGB, etc ...;6,4
Ambos sexos;Comunicación;Doctorado;6,8
Ambos sexos;Comunicación;Máster;14,0
Ambos sexos;Comunicación;Título universitario (excepto doctorado o máster);48,4
Ambos sexos;Comunicación;Formación profesional de grado superior;18,3
